Year,Notes,Life Expectancy Pre-FDA,Life Expectancy Post-FDA,FDA Budget (Inflation Adjusted to 2020 USD),Notes,Cost to Develop 1 New Drug (Inflation Adjusted to 2020 USD),Cost to Develop 1 New Drug in 2000 USD,Notes,FDA Budget,Notes,CPI,Life expectancy (years),Annual Increase in Lifespan Before FDA,Annual Increase in Lifespan After FDA,,,,,,,,,,,,,,,,,
1901,,49,,$0,,,,,$ -,,,49,0.4,0.2,,,,,,,,,,,,,,,,,
1902,,51,,$0,,,,,$ -,,,51,,,,,,,,,,,,,,,,,,,
1903,,51,,$0,,,,,$ -,,,51,,,,,,,,,,,,,,,,,,,
1904,,50,,$0,,,,,$ -,,,50,,,,,,,,,,,,,,,,,,,
1905,,50,,$0,,,,,$ -,,,50,,,,,,,,,,,,,,,,,,,
1906,,50,,$0,,,,,$ -,,,50,0,,,,,,,,,,,,,,,,,,
1907,,50,,$0,,,,,$ -,,,50,,,,,,,,,,,,,,,,,,,
1908,,52,,$0,,,,,$ -,,,52,,,,,,,,,,,,,,,,,,,
1909,,53,,$0,,,,,$ -,,,53,,,,,,,,,,,,,,,,,,,
1910,,52,,$0,,,,,$ -,,,52,,,,,,,,,,,,,,,,,,,
1911,,53,,$0,,,,,$ -,,,53,,,,,,,,,,,,,,,,,,,
1912,,54,,$0,,,,,$ -,,,54,,,,,,,,,,,,,,,,,,,
1913,,54,,$0,,,,,$ -,,,54,,,,,,,,,,,,,,,,,,,
1914,,55,,$0,,,,,$ -,,,55,,,,,,,,,,,,,,,,,,,
1915,,55,,$0,,,,,$ -,,,55,,,,,,,,,,,,,,,,,,,
1916,,54,,$0,,,,,$ -,,,54,,,,,,,,,,,,,,,,,,,
1917,,54,,$0,,,,,$ -,,,54,,,,,,,,,,,,,,,,,,,
1918,,47,,$0,,,,,$ -,,,47,,,,,,,,,,,,,,,,,,,
1919,,55,,$0,,,,,$ -,,,55,,,,,,,,,,,,,,,,,,,
1920,,55,,$0,,,,,$ -,,,55,,,,,,,,,,,,,,,,,,,
1921,,58,,$0,,,,,$ -,,,58,,,,,,,,,,,,,,,,,,,
1922,,58,,$0,,,,,$ -,,,58,,,,,,,,,,,,,,,,,,,
1923,,58,,$0,,,,,$ -,,,58,,,,,,,,,,,,,,,,,,,
1924,,59,,$0,,,,,$ -,,,59,,,,,,,,,,,,,,,,,,,
1925,,59,,$0,,,,,$ -,,,59,,,,,,,,,,,,,,,,,,,
1926,,58,,$0,,,,,$ -,,,58,,,,,,,,,,,,,,,,,,,
1927,,59,,$0,,,,,$ -,,,59,,,,,,,,,,,,,,,,,,,
1928,,58,,$0,,,,,$ -,,,58,,,,,,,,,,,,,,,,,,,
1929,,59,,$0,,,,,$ -,,,59,,,,,,,,,,,,,,,,,,,
1930,,60,,"$23,538,180",,,,,"$1,537,300.00",,,60,,,,,,,,,,,,,,,,,,,
1931,,60,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,
1932,,61,,,,,,,,,,61,,,,,,,,,,,,,,,,,,,
1933,,61,,,,,,,,,,61,,,,,,,,,,,,,,,,,,,
1934,,60,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,
1935,,61,,,,,,,,,,61,,,,,,,,,,,,,,,,,,,
1936,,60,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,
1937,,61,,,,,,,,,,61,,,,,,,,,,,,,,,,,,,
1938,,62,,,,,,,,,,62,,,,,,,,,,,,,,,,,,,
