Year,US Life expectancy,FDA Budget (Inflation Adjusted to 2020 USD)
1543,33.939999,0.0
1548,38.82,0.0
1553,39.59,0.0
1558,22.379999,0.0
1563,36.66,0.0
1568,39.669998,0.0
1573,41.060001,0.0
1578,41.560001,0.0
1583,42.700001,0.0
1588,37.049999,0.0
1593,38.049999,0.0
1598,37.82,0.0
1603,38.529999,0.0
1608,39.59,0.0
1613,36.790001,0.0
1618,40.310001,0.0
1623,33.389999,0.0
1628,39.689999,0.0
1633,39.720001,0.0
1638,34.029999,0.0
1643,36.32,0.0
1648,39.740002,0.0
1653,39.139999,0.0
1658,33.040001,0.0
1663,33.27,0.0
1668,32.48,0.0
1673,37.41,0.0
1678,32.400002,0.0
1683,31.27,0.0
1688,35.93,23538180.0
1693,36.349998,
1698,38.060001,
1703,38.470001,
1708,38.5,
1713,36.889999,
1718,35.75,
1723,35.490002,
1728,25.34,
1733,36.34,
1738,35.259998,
1743,34.27,
1748,36.470001,
1753,39.77,
1758,38.119999,
1763,35.369999,
1768,36.189999,
1773,39.09,
1778,37.740002,
1783,35.810001,
1788,38.970001,50954326.0
1793,37.919998,
1798,38.93,
1803,40.02,
1808,40.580002,
1813,41.25,
1818,40.84,
1823,40.470001,
1828,41.43,
1833,40.889999,
1838,40.560001,
1842,40.994999,
1843,41.560001,
1844,41.240002,
1845,42.169998,
1846,40.150002,
1847,38.514999,
1848,39.889999,
1849,37.68,
1850,42.77,
1851,40.950001,476814598.0
1852,40.41,
1853,39.985001,
1854,39.48,
1855,40.740002,
1856,42.470001,
1857,40.924999,
1858,39.544998,
1859,40.404999,
1860,41.945,
1861,41.619999,970654578.0
1862,42.130001,
1863,40.369999,
1864,39.584999,
1865,39.75,
1866,40.084999,
1867,41.994999,
1868,41.700001,
1869,41.34,
1870,40.605,
1871,41.134998,1109426934.0
1872,42.720001,
1873,43.290001,
1874,42.105,
1875,41.450001,
1876,42.665001,
1877,43.689999,
1878,42.040001,
1879,43.505001,
1880,39.41,
1890,45.209999,1756779277.0
1901,49.299999,
1902,50.5,
1903,50.599998,
1904,49.599998,
1905,50.299999,
1906,50.099998,
1907,50.200001,
1908,51.900002,
1909,52.799999,3180234478.0
1910,51.799999,
1911,53.400002,
1912,54.099998,
1913,53.5,
1914,54.599998,
1915,55.099998,
1916,54.200001,
1917,54.0,
1918,47.200001,
1919,55.299999,5700000000.0
1920,55.400002,
1921,58.200001,
1922,58.099998,
1923,57.5,
1924,58.5,
1925,58.5,
1926,57.900002,
1927,59.400002,
1928,58.299999,
1929,58.5,
1930,59.599998,
1931,60.299999,
1932,61.0,
1933,60.880001,
1934,60.23,
1935,60.889999,
1936,60.349998,
1937,61.049999,
1938,62.389999,
1939,63.07,
1940,63.23,
1941,63.799999,
1942,64.589996,
1943,64.300003,
1944,65.089996,
1945,65.580002,
1946,66.279999,
1947,66.690002,
1948,67.25,
1949,67.629997,
1950,68.202,
1951,68.338,
1952,68.601,
1953,68.842,
1954,69.063,
1955,69.263,
1956,69.441,
1957,69.598,
1958,69.734,
1959,69.848,
1960,69.94,
1961,70.011,
1962,70.064,
1963,70.106,
1964,70.144,
1965,70.188,
1966,70.247,
1967,70.328,
1968,70.44,
1969,70.586,
1970,70.777,
1971,71.017,
1972,71.303,
1973,71.624,
1974,71.972,
1975,72.333,
1976,72.695,
1977,73.044,
1978,73.368,
1979,73.66,
1980,73.91,
1981,74.118,
1982,74.289,
1983,74.432,
1984,74.554,
1985,74.662,
1986,74.765,
1987,74.87,
1988,74.983,
1989,75.107,
1990,75.246,
1991,75.4,
1992,75.562,
1993,75.728,
1994,75.896,
1995,76.062,
1996,76.222,
1997,76.376,
1998,76.524,
1999,76.668,
2000,76.812,
2001,76.962,
2002,77.124,
2003,77.299,
2004,77.486,
2005,77.685,
2006,77.892,
2007,78.101,
2008,78.303,
2009,78.49,
2010,78.652,
2011,78.777,
2012,78.862,
2013,78.909,
2014,78.922,
2015,78.91,
2016,78.885,
2017,78.861,
2018,78.851,
2019,78.862,
