Year,Notes,Life Expectancy Pre-FDA,Life Expectancy Post-FDA,FDA Budget (Inflation Adjusted to 2020 USD),New Drug Applications,Cost to Develop 1 New Drug (Inflation Adjusted to 2020 USD),Cost Millions,Cost to Develop 1 New Drug in 2000 USD,Notes,FDA Budget,Notes,CPI,Life expectancy (years),Annual Increase in Lifespan Before FDA,Annual Increase in Lifespan After FDA,New Drugs Approved,New Molecular Entities,"NDAs Rec'd a, b",,,,,,,,,,,,,
1901,,49,,$0,,,,,,$ -,,,49,0.4,0.1,,,,,,,,,,,,,,,,
1902,,51,,$0,,,,,,$ -,,,51,,,,,,,,,,,,,,,,,,
1903,,51,,$0,,,,,,$ -,,,51,,,,,,,,,,,,,,,,,,
1904,,50,,$0,,,,,,$ -,,,50,,,,,,,,,,,,,,,,,,
1905,,50,,$0,,,,,,$ -,,,50,,,,,,,,,,,,,,,,,,
1906,,50,,$0,,,,,,$ -,,,50,0,,,,,,,,,,,,,,,,,
1907,,50,,$0,,,,,,$ -,,,50,,,,,,,,,,,,,,,,,,
1908,,52,,$0,,,,,,$ -,,,52,,,,,,,,,,,,,,,,,,
1909,,53,,$0,,,,,,$ -,,,53,,,,,,,,,,,,,,,,,,
1910,,52,,$0,,,,,,$ -,,,52,,,,,,,,,,,,,,,,,,
1911,,53,,$0,,,,,,$ -,,,53,,,,,,,,,,,,,,,,,,
1912,,54,,$0,,,,,,$ -,,,54,,,,,,,,,,,,,,,,,,
1913,,54,,$0,,,,,,$ -,,,54,,,,,,,,,,,,,,,,,,
1914,,55,,$0,,,,,,$ -,,,55,,,,,,,,,,,,,,,,,,
1915,,55,,$0,,,,,,$ -,,,55,,,,,,,,,,,,,,,,,,
1916,,54,,$0,,,,,,$ -,,,54,,,,,,,,,,,,,,,,,,
1917,,54,,$0,,,,,,$ -,,,54,,,,,,,,,,,,,,,,,,
1918,,47,,$0,,,,,,$ -,,,47,,,,,,,,,,,,,,,,,,
1919,,55,,$0,,,,,,$ -,,,55,,,,,,,,,,,,,,,,,,
1920,,55,,$0,,,,,,$ -,,,55,,,,,,,,,,,,,,,,,,
1921,,58,,$0,,,,,,$ -,,,58,,,,,,,,,,,,,,,,,,
1922,,58,,$0,,,,,,$ -,,,58,,,,,,,,,,,,,,,,,,
