Column1.fillingType,Column1.abbreviatedName,Column1.advanced,Column1.unitCategoryId,Column1.categoryName,Column1.combinationOperation,Column1.conversionSteps,Column1.fillingValue,Column1.id,Column1.manualTracking,Column1.maximumValue,Column1.minimumValue,Column1.name,Column1.scale,Column1.suffix,Column1.synonyms,Column1.fontAwesome,Column1.image,Column1.maximumDailyValue
zero,$,1,12,Currency,,[List],0.0,49,0,,,Dollars,ratio,,[List],,https://static.quantimo.do/img/fitness/png/measuring-tape.png,
none,/1,1,5,Rating,,[List],,20,0,1.0,0.0,0 to 1 Rating,ordinal,,[List],,https://static.quantimo.do/img/fitness/png/measuring-tape.png,
zero,in,1,2,Distance,,[List],0.0,35,1,,0.0,Inches,ratio,,[List],,https://static.quantimo.do/img/fitness/png/measuring-tape.png,
zero,oz,1,4,Volume,,[List],0.0,206,1,,0.0,Ounces,ratio,,[List],,https://static.quantimo.do/img/fitness/png/measuring-tape.png,
none,/6,1,5,Rating,,[List],,40,0,5.0,0.0,0 to 5 Rating,ordinal,,[List],,https://static.quantimo.do/img/fitness/png/measuring-tape.png,
zero,L,1,4,Volume,,[List],0.0,205,1,,0.0,Liters,ratio,,[List],,https://static.quantimo.do/img/fitness/png/measuring-tape.png,10.0
none,lb,1,3,Weight,,[List],,8,1,1000.0,0.0,Pounds,ratio,,[List],,https://static.quantimo.do/img/fitness/png/measuring-tape.png,
zero,mL,0,4,Volume,,[List],0.0,9,1,,0.0,Milliliters,ratio,,[List],,https://static.quantimo.do/img/fitness/png/measuring-tape.png,1000000.0
none,mph,1,6,Miscellany,MEAN,[List],,215,1,,0.0,Miles per Hour,ratio,,[List],,https://static.quantimo.do/img/fitness/png/measuring-tape.png,
none,%RDA,1,6,Miscellany,SUM,[List],-1.0,29,0,,0.0,% Recommended Daily Allowance,ratio,intake,[List],fas fa-utensil-spoon,https://static.quantimo.do/img/fitness/png/protein.png,10000.0
none,/3,1,5,Rating,MEAN,[List],,216,1,3.0,1.0,1 to 3 Rating,ordinal,,[List],,https://static.quantimo.do/img/fitness/png/measuring-tape.png,
