Year,US Life expectancy,FDA Budget (Inflation Adjusted to 2020 USD),Cost to Develop 1 New Drug (Inflation Adjusted to 2020 USD)
1901,49.299999,0.0,
1902,50.5,0.0,
1903,50.599998,0.0,
1904,49.599998,0.0,
1905,50.299999,0.0,
1906,50.099998,0.0,
1907,50.200001,0.0,
1908,51.900002,0.0,
1909,52.799999,0.0,
1910,51.799999,0.0,
1911,53.400002,0.0,
1912,54.099998,0.0,
1913,53.5,0.0,
1914,54.599998,0.0,
1915,55.099998,0.0,
1916,54.200001,0.0,
1917,54.0,0.0,
1918,47.200001,0.0,
1919,55.299999,0.0,
1920,55.400002,0.0,
1921,58.200001,0.0,
1922,58.099998,0.0,
1923,57.5,0.0,
1924,58.5,0.0,
1925,58.5,0.0,
1926,57.900002,0.0,
1927,59.400002,0.0,
1928,58.299999,0.0,
1929,58.5,0.0,
1930,59.599998,23538180.0,
1931,60.299999,,
1932,61.0,,
1933,60.880001,,
1934,60.23,,
1935,60.889999,,
1936,60.349998,,
1937,61.049999,,
1938,62.389999,,
1939,63.07,,
1940,63.23,,
1941,63.799999,,
1942,64.589996,,
1943,64.300003,,
1944,65.089996,,
1945,65.580002,,
1946,66.279999,,
1947,66.690002,,
1948,67.25,,
1949,67.629997,,
1950,68.202,50954326.0,
1951,68.338,,
1952,68.601,,
1953,68.842,,
1954,69.063,,
1955,69.263,,
1956,69.441,,
1957,69.598,,
1958,69.734,,
1959,69.848,,
1960,69.94,,74245064.0
1961,70.011,,
1962,70.064,,
1963,70.106,,
1964,70.144,,
1965,70.188,,
1966,70.247,,
1967,70.328,,
1968,70.44,,
1969,70.586,,
1970,70.777,476814598.0,
1971,71.017,,
1972,71.303,,
1973,71.624,,
1974,71.972,,
1975,72.333,,148490128.0
1976,72.695,,
1977,73.044,,
1978,73.368,,
1979,73.66,,
1980,73.91,970654578.0,
1981,74.118,,
1982,74.289,,
1983,74.432,,
1984,74.554,,
1985,74.662,,
1986,74.765,,
1987,74.87,,445470383.0
1988,74.983,,
1989,75.107,,
1990,75.246,1109426934.0,
1991,75.4,,
1992,75.562,,
1993,75.728,,
1994,75.896,,
1995,76.062,,
1996,76.222,,
1997,76.376,,
1998,76.524,,
1999,76.668,,
2000,76.812,1756779277.0,1187921022.0
2001,76.962,,
2002,77.124,,
2003,77.299,,
2004,77.486,,
2005,77.685,,1930371661.0
2006,77.892,,
2007,78.101,,
2008,78.303,,
2009,78.49,3180234478.0,
2010,78.652,,
2011,78.777,,
2012,78.862,,
2013,78.909,,
2014,78.922,,
2015,78.91,,
2016,78.885,,
2017,78.861,,
2018,78.851,,
2019,78.862,5700000000.0,3860743322.0
