Year,Spending_2023_USD_Billions,Source
1900,66.10007679902269,COW_NMC
1901,62.883153860559055,COW_NMC
1902,59.59695732568642,COW_NMC
1903,56.04208450153224,COW_NMC
1904,63.49557627178183,COW_NMC
1905,85.42005480825544,COW_NMC
1906,68.17657159576706,COW_NMC
1907,59.796748409411535,COW_NMC
1908,62.30308431603041,COW_NMC
1909,66.8552181402299,COW_NMC
1910,65.57517908835146,COW_NMC
1911,71.73851577236047,COW_NMC
1912,73.94755798831639,COW_NMC
1913,88.66494799625983,COW_NMC
1914,225.86933211264835,COW_NMC
1915,620.5903162401522,COW_NMC
1916,659.1478671713575,COW_NMC
1917,689.4976605379475,COW_NMC
1918,718.1027695424444,COW_NMC
1919,276.04178763458367,COW_NMC
1920,94.5217638555161,COW_NMC
1921,93.46351029770632,COW_NMC
1922,93.7626404279853,COW_NMC
1923,85.73484993170848,COW_NMC
1924,65.01908023257339,COW_NMC
1925,79.27937868838546,COW_NMC
1926,79.4897183232495,COW_NMC
1927,94.1758265872652,COW_NMC
1928,101.81813205779389,COW_NMC
1929,109.19542728047618,COW_NMC
1930,126.21356287859099,COW_NMC
1931,135.50600029086803,COW_NMC
1932,115.85003816183053,COW_NMC
1933,132.83737026651974,COW_NMC
1934,186.04302580539098,COW_NMC
1935,256.21608100557586,COW_NMC
1936,239.16986084170782,COW_NMC
1937,294.33416269990687,COW_NMC
1938,451.8318187882607,COW_NMC
1939,726.8589938593013,COW_NMC
1940,1085.12142236165,COW_NMC
1941,1258.1386478272782,COW_NMC
1942,1759.8930990766182,COW_NMC
1943,2737.3931350116986,COW_NMC
1944,3271.512924174293,COW_NMC
1945,2401.201491071019,COW_NMC
1946,1303.3889749530335,COW_NMC
1947,594.9569389408055,COW_NMC
1948,489.1646737016358,COW_NMC
1949,592.8829049082857,COW_NMC
1950,563.7024614666376,COW_NMC
1951,833.6605480132681,COW_NMC
1952,1046.345301220047,COW_NMC
1953,1119.9349708433353,COW_NMC
1954,1056.276160125626,COW_NMC
1955,1072.6252598896922,COW_NMC
1956,1084.6970215624813,COW_NMC
1957,1114.361872411712,COW_NMC
1958,1134.996471961693,COW_NMC
1959,1173.729156427062,COW_NMC
1960,1187.6064065899586,COW_NMC
1961,1304.7066135684213,COW_NMC
1962,1449.183502969346,COW_NMC
1963,1441.7955563265357,COW_NMC
1964,1462.8104583146014,COW_NMC
1965,1463.4091876187558,COW_NMC
1966,1628.977048675009,COW_NMC
1967,1724.2816129268592,COW_NMC
1968,1827.084250501992,COW_NMC
1969,1834.2281818400809,COW_NMC
1970,1845.3912195850708,COW_NMC
1971,1856.2710535483936,COW_NMC
1972,1944.7449721032715,COW_NMC
1973,2023.549313842567,COW_NMC
1974,2077.7811290975073,COW_NMC
1975,2176.7468352641904,COW_NMC
1976,2188.124943577699,COW_NMC
1977,2266.0850940270616,COW_NMC
1978,2353.5041608344563,COW_NMC
1979,2359.0462486460715,COW_NMC
1980,2348.352632318798,COW_NMC
1981,2297.82039691215,COW_NMC
1982,2411.644703813966,COW_NMC
1983,2456.1783320711734,COW_NMC
1984,2415.643796761078,COW_NMC
1985,2219.428511330524,COW_NMC
1986,2355.3205269148584,COW_NMC
1987,2446.9636802300192,COW_NMC
1988,2430.5865200788135,COW_NMC
1989,1878.9629603392523,COW_NMC
1990,1951.841932762872,COW_NMC
1991,1855.1910120968512,COW_NMC
1992,1652.986209340497,COW_NMC
1993,1540.0383382467676,COW_NMC
1994,1666.1825674098484,COW_NMC
1995,1654.278051281411,COW_NMC
1996,1637.2154145816185,COW_NMC
1997,1541.881577388192,COW_NMC
1998,1511.2526293333522,COW_NMC
1999,1484.5769835100864,COW_NMC
2000,1456.5782919881285,COW_NMC
2001,1464.7938357046112,COW_NMC
2002,1490.5741978098408,COW_NMC
2003,1676.7249314099788,COW_NMC
2004,1804.8756909094388,COW_NMC
2005,1703.2664273363648,COW_NMC
2006,1754.9985164796017,COW_NMC
2007,1883.4437269239131,COW_NMC
2008,2012.9476798663675,COW_NMC
2009,2087.4534401948968,COW_NMC
2010,2012.0,SIPRI
2011,2145.3348045393877,COW_NMC
2012,2082.8959946214627,COW_NMC
2013,2080.0,SIPRI
2015,2155.0,SIPRI
2020,2319.0,SIPRI
2024,2718.0,SIPRI
